recipedetails,S0-Q1-yesno
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty.",yes
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup.",yes
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed. With each addition of liquid, also add salt and pepper to taste.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed. With each addition of liquid, also add salt and pepper to taste. Place 2 or 3 slices of toasted baguette in bottom of each ovenproof soup crock or bowl. How many pieces you use will depend on the size of your crock.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed. With each addition of liquid, also add salt and pepper to taste. Place 2 or 3 slices of toasted baguette in bottom of each ovenproof soup crock or bowl. How many pieces you use will depend on the size of your crock. Ladle soup carefully over the baguette slices, making sure the bread stays at the bottom of the crock.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed. With each addition of liquid, also add salt and pepper to taste. Place 2 or 3 slices of toasted baguette in bottom of each ovenproof soup crock or bowl. How many pieces you use will depend on the size of your crock. Ladle soup carefully over the baguette slices, making sure the bread stays at the bottom of the crock. Top each soup-filled crock with ½ cup shredded mozzarella. Place crocks on baking sheet covered with parchment paper and bake for 15 minutes or until cheese is browned.",no
"Preheat oven to 325° F. Place baguette slices on baking sheet, and bake until golden and crispy, about 15 minutes. Take out of the oven and set aside. Turn oven up to 400° F. Pierce eggplant all over with a fork. Place eggplant on baking sheet covered with aluminum foil. Roast for 30 minutes or until a fork easily pierces flesh. Meanwhile, slice off about ½ inch from the top of the head of garlic. Drizzle 1 teaspoon olive oil over top of garlic, wrap tightly in foil, and place in oven on separate baking sheet for 20 minutes. Unwrap and roast uncovered another 10 minutes. (Eggplant and garlic should be put in the oven at the same time so they come out of the oven at the same time.) While the vegetables are roasting, heat 1 tablespoon olive oil in a large pot over medium heat. Stir in shallots and cook until translucent, about 5 minutes. Stir in wine, water, salt, pepper, tomatoes, and thyme. Bring to a boil, then reduce heat and simmer for 10 minutes. Remove eggplant and garlic from oven. Set garlic aside to cool. Eggplant will let off steam when cut into, so be careful. Cut off stem end of eggplant, then cut eggplant in half lengthwise and scoop out flesh into a bowl. Flesh should separate easily from skin. When all the flesh has been removed, transfer to pot. Discard the skin. With wet hands, remove cooled garlic from its skin and add to pot. Garlic will still be hot, so be careful. If your hands are wet, the papery garlic skin will not stick to them as much, and it's also soothing when handling the hot garlic. Simmer, covered, for 10 minutes so flavors combine. At this point the soup looks a little like a sea monster convention. Not to worry: You will soon transform it into a thing of scrumptious beauty. Let soup cool, uncovered, for 15 minutes. Puree soup in batches in blender or use an immersion (hand) blender and puree in the pot. If using a regular blender, after you put the soup into the blender and the top is on securely, hold a dish towel over the top of the blender so you don't Jackson Pollack your kitchen with soup. Add salt and pepper to taste. Add more water in ½-cup increments, if needed. With each addition of liquid, also add salt and pepper to taste. Place 2 or 3 slices of toasted baguette in bottom of each ovenproof soup crock or bowl. How many pieces you use will depend on the size of your crock. Ladle soup carefully over the baguette slices, making sure the bread stays at the bottom of the crock. Top each soup-filled crock with ½ cup shredded mozzarella. Place crocks on baking sheet covered with parchment paper and bake for 15 minutes or until cheese is browned. Cool 10 minutes before serving. The crocks will be hot then, too, so take care not to burn your digits.",yes
Soak deer meat for 15 to 20 minutes in salt water. Pressure at 15 pounds for 1 hour in pressure cooker.,yes
Combine soup & gelatin in saucepan & heat until gelatin dissolves. Combine other ingredients (except parsley & paprika) and form into a ball.,no
Combine soup & gelatin in saucepan & heat until gelatin dissolves. Combine other ingredients (except parsley & paprika) and form into a ball. Refrigerate. Roll in parsley & sprinkle with paprika. Serve with crackers.,no
"Sift flour and put in large kettle. Add sugar, salt, melted lard and butter, milk, yeast and eggs. Mix well and let stand to rise. Mix down with spoon, let rise again. Put into pans, let rise. When ready to put into oven, cover with thick sour cream, sugar and cinnamon. Bake at 350 F. about 40 minutes.",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper.",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast Add warm milk and butter to dry ingredients, mix",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast Add warm milk and butter to dry ingredients, mix Allow to rise (about 45 minutes); then gently knead",yes
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast Add warm milk and butter to dry ingredients, mix Allow to rise (about 45 minutes); then gently knead Divide dough in half, then fourths; shape and add preserves in the middle",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast Add warm milk and butter to dry ingredients, mix Allow to rise (about 45 minutes); then gently knead Divide dough in half, then fourths; shape and add preserves in the middle Melt some butter & sugar; dip each roll into this and put into a baking pan.",no
"Preheat Oven to 350F. Spray a glass square baking dish with non-stick cooking spray, or line with parchment paper. Mix dry ingredients, and add yeast Add warm milk and butter to dry ingredients, mix Allow to rise (about 45 minutes); then gently knead Divide dough in half, then fourths; shape and add preserves in the middle Melt some butter & sugar; dip each roll into this and put into a baking pan. Bake at 350F; 30 minutes or until golden",no
Preheat the oven to 350 degrees.,no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside.",no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside. Meanwhile, prepare the potatoes. Boil the cubed potatoes in water for about 20 minutes, until soft. Drain. With electric beaters, add the warm milk and olive oil. Whip until potatoes are fluffy. Add the herbs.",no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside. Meanwhile, prepare the potatoes. Boil the cubed potatoes in water for about 20 minutes, until soft. Drain. With electric beaters, add the warm milk and olive oil. Whip until potatoes are fluffy. Add the herbs. Take the garlic and gently squeeze out the garlic from each of the cloves, leaving behind the skins. Add all the garlic pulp to the potatoes. Whip again. Season with pepper and salt.",no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside. Meanwhile, prepare the potatoes. Boil the cubed potatoes in water for about 20 minutes, until soft. Drain. With electric beaters, add the warm milk and olive oil. Whip until potatoes are fluffy. Add the herbs. Take the garlic and gently squeeze out the garlic from each of the cloves, leaving behind the skins. Add all the garlic pulp to the potatoes. Whip again. Season with pepper and salt. This recipe yields 6 servings.",no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside. Meanwhile, prepare the potatoes. Boil the cubed potatoes in water for about 20 minutes, until soft. Drain. With electric beaters, add the warm milk and olive oil. Whip until potatoes are fluffy. Add the herbs. Take the garlic and gently squeeze out the garlic from each of the cloves, leaving behind the skins. Add all the garlic pulp to the potatoes. Whip again. Season with pepper and salt. This recipe yields 6 servings. Serving size: 1/2 cup.",no
"Preheat the oven to 350 degrees. In a small casserole dish, place the whole head of garlic and the broth. Cover the casserole and roast in the oven for 1 hour. Remove dish from the oven and set aside. Meanwhile, prepare the potatoes. Boil the cubed potatoes in water for about 20 minutes, until soft. Drain. With electric beaters, add the warm milk and olive oil. Whip until potatoes are fluffy. Add the herbs. Take the garlic and gently squeeze out the garlic from each of the cloves, leaving behind the skins. Add all the garlic pulp to the potatoes. Whip again. Season with pepper and salt. This recipe yields 6 servings. Serving size: 1/2 cup. Comments: Roasting a head of garlic is easy and brings out that good garlicky flavor.",no
Cook chickens till tender. Debone chicken and reserve broth.,yes
"Cook chickens till tender. Debone chicken and reserve broth. Brown bread crumbs in 1/2 lb margarine, stirring constantly.",yes
"Cook chickens till tender. Debone chicken and reserve broth. Brown bread crumbs in 1/2 lb margarine, stirring constantly. Combine bread crumbs and all other ingredients except chicken.",yes
"Cook chickens till tender. Debone chicken and reserve broth. Brown bread crumbs in 1/2 lb margarine, stirring constantly. Combine bread crumbs and all other ingredients except chicken. Mix well and add chicken broth till mixture is very moist.",yes
"Cook chickens till tender. Debone chicken and reserve broth. Brown bread crumbs in 1/2 lb margarine, stirring constantly. Combine bread crumbs and all other ingredients except chicken. Mix well and add chicken broth till mixture is very moist. Put chicken meat in bottom of a large roast pan. Cover with bread mixture. Roast in a slow oven till golden brown (250 degrees for 1 1/2 to 2 hours).",yes
"Cook chickens till tender. Debone chicken and reserve broth. Brown bread crumbs in 1/2 lb margarine, stirring constantly. Combine bread crumbs and all other ingredients except chicken. Mix well and add chicken broth till mixture is very moist. Put chicken meat in bottom of a large roast pan. Cover with bread mixture. Roast in a slow oven till golden brown (250 degrees for 1 1/2 to 2 hours). Notes:",no
"Heat oil in a saucepan or large skillet over medium-high heat. Add onion and garlic; saut, 5 minutes. Stir in wine and next 8 ingredients",no
"Heat oil in a saucepan or large skillet over medium-high heat. Add onion and garlic; saut, 5 minutes. Stir in wine and next 8 ingredients (wine through tomatoes); bring to a boil. Reduce heat to medium, and cook, uncovered, about 15 minutes. Stir in parsley.",no
"Heat oil in a saucepan or large skillet over medium-high heat. Add onion and garlic; saut, 5 minutes. Stir in wine and next 8 ingredients (wine through tomatoes); bring to a boil. Reduce heat to medium, and cook, uncovered, about 15 minutes. Stir in parsley. Yield: 3 cups (serving size:1 cup).",no
"Cook cauliflower in salted water until almost done. Drain; cool enough to handle and break into flowerets. Grease casserole and make alternate layers of cauliflower and ham. Dot with butter. Mix remaining ingredients except cheese. Pour into casserole. Bake, covered, in 375 degree oven until bubbly, about 30 minutes. Remove cover; top with cheese and bake until browned, about 15 minutes, or put under broiler to brown.",yes
"Cook cauliflower in salted water until almost done. Drain; cool enough to handle and break into flowerets. Grease casserole and make alternate layers of cauliflower and ham. Dot with butter. Mix remaining ingredients except cheese. Pour into casserole. Bake, covered, in 375 degree oven until bubbly, about 30 minutes. Remove cover; top with cheese and bake until browned, about 15 minutes, or put under broiler to brown. Makes 6 servings.",yes
"I use these proportions for a 1 1/2 lb loaf, so you may want to adjust for a smaller or larger loaf.",yes
"I use these proportions for a 1 1/2 lb loaf, so you may want to adjust for a smaller or larger loaf. It's a special treat for Thanksgiving or other holiday dinners. Or try it toasted with cream cheese for breakfast!",yes
"I use these proportions for a 1 1/2 lb loaf, so you may want to adjust for a smaller or larger loaf. It's a special treat for Thanksgiving or other holiday dinners. Or try it toasted with cream cheese for breakfast! Kathryn",yes
"What an amazing breakfast I threw together this morning! I had a great training session this morning and then I prepared my breakfast. I made a 4 oz. Lean Turkey Burger and a huge plate of Broccoli, Zucchini, chopped Green Pepper. I sauteed the Vegetables with some Extra Virgin Olive Oil and topped them with some Crushed Red Pepper and Toasted Sesame Seeds, along with a hot cup of Black Tea. Tasted wonderful, truly a 'Power Meal'.",no
"In a small bowl, whisk together the vinegar, salt, pepper, parsley, and garlic. Drizzle in the olive oil in a thin stream, whisking constantly, until it is completely emulsified. Stir in the onion and Tabasco.",no
"In a small bowl, whisk together the vinegar, salt, pepper, parsley, and garlic. Drizzle in the olive oil in a thin stream, whisking constantly, until it is completely emulsified. Stir in the onion and Tabasco. In a large saucepan, bring a generous amount of water to the boil. Plunge in the okra and cook for 3 minutes. Drain and pat dry with paper towels.",no
"In a small bowl, whisk together the vinegar, salt, pepper, parsley, and garlic. Drizzle in the olive oil in a thin stream, whisking constantly, until it is completely emulsified. Stir in the onion and Tabasco. In a large saucepan, bring a generous amount of water to the boil. Plunge in the okra and cook for 3 minutes. Drain and pat dry with paper towels. In a large heavy skillet, heat the olive oil over medium-high heat. Toss in the okra and sear it, tossing frequently, for about 1 1/2 minutes, or until golden. Set aside for 5 minutes to cool.",no
"In a small bowl, whisk together the vinegar, salt, pepper, parsley, and garlic. Drizzle in the olive oil in a thin stream, whisking constantly, until it is completely emulsified. Stir in the onion and Tabasco. In a large saucepan, bring a generous amount of water to the boil. Plunge in the okra and cook for 3 minutes. Drain and pat dry with paper towels. In a large heavy skillet, heat the olive oil over medium-high heat. Toss in the okra and sear it, tossing frequently, for about 1 1/2 minutes, or until golden. Set aside for 5 minutes to cool. Arrange the lettuce leaves in a large serving bowl and scatter the okra on top. Pour the dressing over, toss together and scatter the red pepper julienne on top.",no
"In a small bowl, whisk together the vinegar, salt, pepper, parsley, and garlic. Drizzle in the olive oil in a thin stream, whisking constantly, until it is completely emulsified. Stir in the onion and Tabasco. In a large saucepan, bring a generous amount of water to the boil. Plunge in the okra and cook for 3 minutes. Drain and pat dry with paper towels. In a large heavy skillet, heat the olive oil over medium-high heat. Toss in the okra and sear it, tossing frequently, for about 1 1/2 minutes, or until golden. Set aside for 5 minutes to cool. Arrange the lettuce leaves in a large serving bowl and scatter the okra on top. Pour the dressing over, toss together and scatter the red pepper julienne on top. This recipe yields 6 servings.",no
"Heat enough oil in a large pan. Add the cloves, cinnamon and cardamom, when the aroma rises add the chopped onions and slit green chilly. Saute for few minutes and add the broccoli, mushrooms and tomatoes. Fry for 2 mins.",no
